Order ID,AWB Number,Total weight as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.),Difference Between Expected Charges and Billed Charges (Rs.)
2001827036,1091122418320,210.0,0.0,1.6,b,d,0.0,117.9,-1.6
2001825261,1091121981575,210.0,0.0,1.6,d,d,0.0,345.0,-1.6
2001823564,1091121666133,210.0,0.0,0.7,d,d,0.0,172.8,-0.7
2001822466,1091121305541,210.0,0.0,1.1,d,d,0.0,135.0,-1.1
2001821995,1091121183730,210.0,0.0,0.5,d,d,0.0,45.4,-0.5
2001821766,1091121034641,210.0,0.0,0.2,d,d,0.0,45.4,-0.2
2001821750,1091121034350,210.0,0.0,0.8,d,d,0.0,90.2,-0.8
2001821742,1091121034114,210.0,0.0,0.15,d,d,0.0,45.4,-0.15
2001821679,1091121031745,210.0,0.0,0.2,d,d,0.0,45.4,-0.2
2001821502,1091121185863,210.0,0.0,0.6,d,d,0.0,90.2,-0.6
2001821284,1091120962515,210.0,0.0,0.2,d,d,0.0,45.4,-0.2
2001821190,1091120959015,210.0,0.0,1.2,d,d,0.0,258.9,-1.2
2001821185,1091120959225,210.0,0.0,2.1,d,d,0.0,224.6,-2.1
2001820978,1091120922803,210.0,0.0,0.5,d,d,0.0,45.4,-0.5
2001820690,1091121306101,210.0,0.0,0.15,d,d,0.0,45.4,-0.15
2001819252,1091120352712,210.0,0.0,0.3,b,d,0.0,33.0,-0.3
2001818390,1091120014461,210.0,0.0,0.8,e,d,0.0,213.5,-0.8
2001817160,1091119630264,210.0,0.0,0.7,d,d,0.0,172.8,-0.7
2001817093,1091121485824,210.0,0.0,1.3,b,d,0.0,151.1,-1.3
2001816996,1091119429202,210.0,0.0,0.5,d,d,0.0,45.4,-0.5
2001816684,1091119398844,210.0,0.0,0.99,d,d,0.0,172.8,-0.99
2001816131,1091119367193,210.0,0.0,0.7,d,d,0.0,90.2,-0.7
2001815688,1091119169701,210.0,0.0,0.2,d,d,0.0,45.4,-0.2
2001814580,1091118925110,210.0,0.0,0.15,d,d,0.0,86.7,-0.15
2001813009,1091118553701,210.0,0.0,1.0,d,d,0.0,90.2,-1.0
2001812941,1091118551656,210.0,0.0,0.73,d,d,0.0,90.2,-0.73
2001812854,1091118548333,210.0,0.0,2.94,d,d,0.0,269.4,-2.94
2001812838,1091118547832,210.0,0.0,0.6,b,d,0.0,102.3,-0.6
2001812650,1091118591534,210.0,0.0,0.61,d,d,0.0,90.2,-0.61
2001812195,1091118442390,210.0,0.0,0.67,d,d,0.0,90.2,-0.67
2001811809,1091118009786,210.0,0.0,0.5,d,d,0.0,86.7,-0.5
2001811604,1091118004245,210.0,0.0,0.8,b,d,0.0,61.3,-0.8
2001811475,1091121844806,210.0,0.0,0.5,b,d,0.0,33.0,-0.5
2001811466,1091118001865,210.0,0.0,0.8,d,d,0.0,90.2,-0.8
2001811363,1091117958395,210.0,0.0,0.59,d,d,0.0,90.2,-0.59
2001811306,1091117958163,210.0,0.0,1.1,d,d,0.0,135.0,-1.1
2001811305,1091121846136,210.0,0.0,0.5,d,d,0.0,45.4,-0.5
2001811229,1091117957942,210.0,0.0,0.6,d,d,0.0,90.2,-0.6
2001811192,1091117957780,210.0,0.0,1.13,d,d,0.0,258.9,-1.13
2001811153,1091117957533,210.0,0.0,0.76,d,d,0.0,90.2,-0.76
2001811058,1091117905022,210.0,0.0,0.72,d,d,0.0,90.2,-0.72
2001811039,1091117904860,210.0,0.0,0.68,d,d,0.0,90.2,-0.68
2001810697,1091117807140,210.0,0.0,2.27,d,d,0.0,224.6,-2.27
2001810549,1091117806263,210.0,0.0,1.86,d,d,0.0,179.8,-1.86
2001810281,1091117805390,210.0,0.0,0.68,d,d,0.0,90.2,-0.68
2001810125,1091117804314,210.0,0.0,0.66,d,d,0.0,90.2,-0.66
2001810104,1091117804200,210.0,0.0,0.76,d,d,0.0,90.2,-0.76
2001809934,1091117803511,210.0,0.0,0.82,d,d,0.0,90.2,-0.82
2001809917,1091121482593,210.0,0.0,0.6,d,d,0.0,172.8,-0.6
2001809820,1091117795623,210.0,0.0,3.0,d,d,0.0,269.4,-3.0
2001809794,1091117795531,210.0,0.0,1.5,d,d,0.0,135.0,-1.5
2001809592,1091117616121,210.0,0.0,1.5,b,d,0.0,89.6,-1.5
2001809383,1091117614452,210.0,0.0,0.5,d,d,0.0,86.7,-0.5
2001809270,1091117613962,210.0,0.0,0.68,d,d,0.0,90.2,-0.68
2001808992,1091117611501,210.0,0.0,0.72,d,d,0.0,90.2,-0.72
2001808883,1091117438074,210.0,0.0,0.72,d,d,0.0,90.2,-0.72
2001808837,1091117437890,210.0,0.0,0.67,d,d,0.0,90.2,-0.67
2001808832,1091117437864,210.0,0.0,2.47,d,d,0.0,224.6,-2.47
2001808801,1091117437680,210.0,0.0,0.8,d,d,0.0,90.2,-0.8
2001808739,1091117437293,210.0,0.0,1.63,d,d,0.0,179.8,-1.63
2001808679,1091117437035,210.0,0.0,0.72,d,d,0.0,90.2,-0.72
2001808675,1091117437050,210.0,0.0,1.2,b,d,0.0,89.6,-1.2
2001808585,1091117436652,210.0,0.0,0.72,b,d,0.0,61.3,-0.72
2001808542,1091117436464,210.0,0.0,0.86,d,d,0.0,90.2,-0.86
2001808507,1091117436383,210.0,0.0,0.79,b,d,0.0,61.3,-0.79
2001808475,1091117436346,210.0,0.0,0.7,d,d,0.0,90.2,-0.7
2001808295,1091117435661,210.0,0.0,0.2,e,d,0.0,107.3,-0.2
2001808286,1091117435602,210.0,0.0,0.77,d,d,0.0,90.2,-0.77
2001808207,1091117435370,210.0,0.0,0.79,d,d,0.0,90.2,-0.79
2001808118,1091117435134,210.0,0.0,0.5,b,d,0.0,33.0,-0.5
2001808102,1091117435005,210.0,0.0,1.28,d,d,0.0,135.0,-1.28
2001807981,1091117327570,210.0,0.0,0.5,d,d,0.0,45.4,-0.5
2001807976,1091117327496,210.0,0.0,0.7,d,d,0.0,172.8,-0.7
2001807970,1091117327474,210.0,0.0,4.13,d,d,0.0,403.8,-4.13
2001807960,1091117327312,210.0,0.0,1.0,d,d,0.0,90.2,-1.0
2001807956,1091117327275,210.0,0.0,1.08,b,d,0.0,89.6,-1.08
2001807931,1091117327172,210.0,0.0,0.72,d,d,0.0,90.2,-0.72
2001807930,1091117327695,210.0,0.0,0.15,d,d,0.0,45.4,-0.15
2001807852,1091117326925,210.0,0.0,0.74,d,d,0.0,90.2,-0.74
2001807814,1091117326612,210.0,0.0,0.79,b,d,0.0,61.3,-0.79
2001807785,1091117326424,210.0,0.0,0.68,d,d,0.0,90.2,-0.68
2001807613,1091117333251,210.0,0.0,1.04,d,d,0.0,135.0,-1.04
2001807415,1091117325094,210.0,0.0,1.0,b,d,0.0,61.3,-1.0
2001807362,1091117324394,210.0,0.0,2.0,d,d,0.0,179.8,-2.0
2001807329,1091117333100,210.0,0.0,0.73,d,d,0.0,90.2,-0.73
2001807328,1091117324346,210.0,0.0,2.28,d,d,0.0,224.6,-2.28
2001807290,1091117324206,210.0,0.0,0.5,d,d,0.0,45.4,-0.5
2001807241,1091117324011,210.0,0.0,0.79,d,d,0.0,90.2,-0.79
2001807186,1091117323812,210.0,0.0,0.5,d,d,0.0,45.4,-0.5
2001807084,1091117323215,210.0,0.0,0.67,d,d,0.0,90.2,-0.67
2001807058,1091117323112,210.0,0.0,1.15,b,d,0.0,89.6,-1.15
2001807036,1091117323005,210.0,0.0,1.64,d,d,0.0,179.8,-1.64
2001807012,1091117229345,210.0,0.0,0.15,d,d,0.0,45.4,-0.15
2001807004,1091117229290,210.0,0.0,0.68,d,d,0.0,90.2,-0.68
2001806968,1091117229183,210.0,0.0,0.68,d,d,0.0,90.2,-0.68
2001806885,1091117229776,210.0,0.0,1.0,b,d,0.0,61.3,-1.0
2001806828,1091117228192,210.0,0.0,0.69,d,d,0.0,90.2,-0.69
2001806823,1091117228133,210.0,0.0,0.59,d,d,0.0,90.2,-0.59
2001806801,1091117227816,210.0,0.0,1.35,b,d,0.0,89.6,-1.35
2001806776,1091117227573,210.0,0.0,2.86,b,d,0.0,174.5,-2.86
2001806768,1091117227116,210.0,0.0,1.02,d,d,0.0,135.0,-1.02
2001806735,1091117226711,210.0,0.0,0.69,d,d,0.0,90.2,-0.69
2001806733,1091117226674,210.0,0.0,1.13,d,d,0.0,135.0,-1.13
2001806726,1091117226910,210.0,0.0,0.68,d,d,0.0,90.2,-0.68
2001806686,1091117229555,210.0,0.0,0.15,d,d,0.0,45.4,-0.15
2001806652,1091117226221,210.0,0.0,0.69,d,d,0.0,90.2,-0.69
2001806616,1091117225484,210.0,0.0,1.08,b,d,0.0,89.6,-1.08
2001806575,1091117225016,210.0,0.0,0.68,b,d,0.0,61.3,-0.68
2001806567,1091117224902,210.0,0.0,1.16,d,d,0.0,135.0,-1.16
2001806547,1091117224611,210.0,0.0,1.0,b,d,0.0,61.3,-1.0
2001806533,1091117224353,210.0,0.0,0.68,d,d,0.0,90.2,-0.68
2001806471,1091117223351,210.0,0.0,1.7,d,d,0.0,179.8,-1.7
